query,intent
матричный график выручки по направлениям,region_category_heatmap
построй двухмерную карту интенсивности продаж,region_category_heatmap
выведи хитмап выручки по категориям и регионам,region_category_heatmap
тепловая визуализация товарных рынков в регионах,region_category_heatmap
сделай карту интенсивности продаж по матрице,region_category_heatmap
матрица эффективности товаров по филиалам,region_category_heatmap
покажи распределение выручки сеткой,region_category_heatmap
тепловая карта пересечения товаров и регионов,region_category_heatmap
выведи хитмап продаж корпоративных продуктов,region_category_heatmap
матричный отчет по продажам товаров в городах,region_category_heatmap
построй карту плотности выручки отделов,region_category_heatmap
двухмерный хитмап продаж по регионам,region_category_heatmap
покажи тепловую матрицу товарных групп,region_category_heatmap
выведи сетку эффективности продаж по стране,region_category_heatmap
матричный анализ выручки филиалов,region_category_heatmap
тепловой график продаж по категориям и городам,region_category_heatmap
построй хитмап продаж по категориям,region_category_heatmap
